PCF ID,Hierarchy ID,Name,<user>,<action>,<outcome>,<context>,User Story  [1],User Story  [2],User Story  [3],Priority,Difference Index,Change details,Metrics available?,Input,Store,Users,Process,Output
16790,1.1.1.9,Identify intellectual property concerns,the venture's  CEO,"identify a table of competitors, including size, position in the market and type of threat",Write a report,1.1.1.Assess the external environment,"As the venture's   CEO I want the platform to generate me a report that includes table of competitors so that I don't have to write it myself, and it should be visible to the executive to influence their strategic planning","As the the venture's Executive I want the platform to provide me with a report that provides a table of competitors, including size, position in the market and type of threat to support strategic planning",,,1,NEW,N,IP Mapping,Corporate 1.1 Private,"C-suite, Invitees, VIPs","Identify IP blocks to progress in terms of overlap, restrictions and alignment, through mapping",IP issues definitions and report integration
16791,1.1.1.10,Evaluate IP acquisition options,the venture's  CEO,identifies intellectual property concerns,Write a report,1.1.1.Assess the external environment,"As the the venture's CEO I want the platform to generate me a report that identifies intellectual property concerns so that I don't have to write it myself, and it should be visible to the executive to influence their strategic planning",As the the venture's Executive I want the platform to provide me with a report that identifies intellectual property concerns to influence strategic planning,,,1,NEW,N,"IP Mapping, Jurisdiction",Corporate 1.1 Private,"C-suite, Invitees, VIPs",Propose IP support and plan sysnthesis for evaluation and path option definition,IP issues definitions and report integration including overall recommendations
10018,1.1.2,Survey market and determine customer needs and wants,,,,,r/w/e,r,,,4,#ERROR!,N,,,,,
10028,1.1.2.1,Conduct qualitative/quantitative research and assessments,Marketing Director,Conduct qualitative/quantitative research and assessments,Write a report,Survey market and determine customer needs and wants,"As the the venture's Marketing Director, I want the platform to support my team conducting qualitative/quantitative research and assessments, so that the results and evaluation should be visible to the executive, to influence their strategic planning","As the the venture's Executive, we want the platform to demonstrate the results and evaluation  coordinated by the Merketing Director, to influence their strategic planning",,,1,"RENAME, WAS:Conduct qualitative/quantitative assessments",N,,,,,
19946,1.1.2.2,Capture customer needs and wants,Marketing Director,Capture customer needs and wants,Write a report,Survey market and determine customer needs and wants,"As the the venture's Marketing Director, I want the platform to support my team be able to survey the market and determine customer needs and wants, so that the results and evaluation should be visible to the executive, to influence their strategic planning","As the the venture's Executive, we want the platform to demonstrate the results and evaluation of customer needs and wants coordinated by the Merketing Director, to influence their strategic planning",,,1,NEW,N,,,,,
19947,1.1.2.3,Assess customer needs and wants,Marketing Director,Assess customer needs and wants,Write a report,Survey market and determine customer needs and wants,"As the the venture's Marketing Director, I want the platform to support my team conducting qualitative/quantitative research and assessments, so that the results and evaluation should be visible to the executive, to influence their strategic planning","As the the venture's Executive, we want the platform to demonstrate the results and evaluation  coordinated by the Merketing Director, to influence their strategic planning",,,1,NEW,N,,,,,
10019,1.1.3,Assess the internal environment,,,,,r/w/e,r,,,4,#ERROR!,N,,,,,
10030,1.1.3.1,Analyze organizational characteristics,Executive Director,Analyze organizational characteristics,UI Display,Assess the internal environment,"As an Executive Director, I expect the system to analyse organisational characteristics, providing a visual display (and printable PDF) as part of assessing the internal environment.",,,,0,,N,,,,,
19948,1.1.3.2,Analyze internal operations,Executive Director,Analyze internal operations,UI Display,Assess the internal environment,"As an Executive Director, I expect the system to analyse organisational characteristics, providing a visual display (and printable PDF) as part of assessing the internal environment.",,,,1,NEW,N,,,,,
10031,1.1.3.3,Create baselines for current processes,Executive Director,Create baselines for current processes,UI Display,Assess the internal environment,"As an Executive Director, I expect the system to allow inputs for KPIs to create baselines for current processes, providing a visual display (and printable PDF) as part of assessing the internal environment.",,,,0,,N,,,,,
10032,1.1.3.4,Analyze systems and technology,Executive Director,Analyze systems and technology,UI Display,Assess the internal environment,"As an Executive Director, I expect the system to analyse systems and technologies, providing a visual display (and printable PDF) as part of assessing the internal environment.",,,,0,,N,,,,,
10033,1.1.3.5,Analyze financial health,Executive Director,Analyze financial health,UI Display,Assess the internal environment,"As an Executive Director, I expect the system to analyse finanical health overview, providing a visual display (and printable PDF) as part of assessing the internal environment.",,,,1,"RENAME, WAS:Analyze financial positions",N,,,,,
10034,1.1.3.6,Identify core competencies,Executive Director,Identify core competencies,UI Display,Assess the internal environment,"As an Executive Director, I expect the system to identify core competencies, providing a visual display (and printable PDF) as part of assessing the internal environment.",,,,1,"RENAME, WAS:Identify enterprise core competencies",N,,,,,
10020,1.1.4,Establish strategic vision,,,,,r/w/e,r,,,1,19949,N,,,,,
19949,1.1.4.1,Define the strategic vision,Executive Director,Define the strategic vision,Write a report,Establish strategic vision,"As an Executive Director, I expect to collectively define the strategic vision, write a report (and printable PDF) as part of establishing the strategic vision",,,,1,NEW,N,,,,,
10035,1.1.4.2,Align stakeholders around strategic vision,Executive Director,Align stakeholders around strategic vision,"Write a report, meet and discuss atrategic vision",Establish strategic vision,"As an Executive Director, I expect to align stakeholders around the strategic vision, meet and discuss, then write a report (and printable PDF) as part of establishing the strategic vision","As an stakeholder, I expect to be able to discuss the strategic vision, download the report as a printable PDF as part of sharing the strategic vision development process",,,0,,N,,,,,
10036,1.1.4.3,Communicate strategic vision to stakeholders,Executive Director,Communicate strategic vision to stakeholders,Share a report,Establish strategic vision,"As an Executive Director, I expect to communicate strategic vision to stakeholders, writing an accompanying report (and printable PDF) as part of establishing the strategic vision","As an stakeholder, I expect to be able to read the strategic vision, download the report as a printable PDF as part of sharing the strategic vision",,,0,,N,,,,,
16792,1.1.5,Conduct organization restructuring opportunities,,,,,r/w/e,r,,,0,,N,,,,,
16793,1.1.5.1,Identify restructuring opportunities,the venture's  CEO,Identify restructuring opportunities,Write a report,Conduct organisation restructuring opportunities,"As one of the venture's Executives, I aim to identify restructuring opportunities in my business unit, which are then integrated into a comprehensive report by the system.","As the venture's CEO, Identify restructuring opportunities, I aim to identify restructuring opportunities which are then integrated into a comprehensive report by the system.",,,0,,N,,,,,
16794,1.1.5.2,Perform due-diligence,the venture's  CEO,Perform due-diligence,Write a report,Conduct organisation restructuring opportunities,"As one of the venture's Executives, I aim to perform due-diligence in my business unit, which can then be integrated into a comprehensive report by the system.","As the venture's CEO, Identify restructuring opportunities, I aim to review the due-diligence activties, integrated into a comprehensive report by the system.",,,0,,N,,,,,
16795,1.1.5.3,Analyze deal options,the venture's  CEO,Analyze deal options,Write a report,Conduct organisation restructuring opportunities,"As one of the venture's Executives, I aim to analyse deal options in my business unit, which are then integrated into a comprehensive report by the system.","As the venture's CEO, Identify restructuring opportunities, I aim to identify restructuring opportunities which are then integrated into a comprehensive report by the system.",,,0,,N,,,,,
16796,1.1.5.3.1,Evaluate acquisition options,the venture's  CEO,Evaluate acquisition options,Write a report,Conduct organisation restructuring opportunities,"As one of the venture's Executives, I aim to identify restructuring opportunities in my business unit, as part of the deal options which are then integrated into a comprehensive report by the system.","As the venture's CEO, Identify restructuring opportunities, I aim to review acquisition options, as part of the deal options which are then integrated into a comprehensive report by the system.",,,0,,N,,,,,
16797,1.1.5.3.2,Evaluate merger options,the venture's  CEO,Evaluate merger options,Write a report,Conduct organisation restructuring opportunities,"As one of the venture's Executives, I aim to identify restructuring opportunities in my business unit, as part of the deal options which are then integrated into a comprehensive report by the system.","As the venture's CEO, Identify restructuring opportunities, I aim to identify restructuring opportunities which are then integrated into a comprehensive report by the system.",,,0,,N,,,,,
16798,1.1.5.3.3,Evaluate de-merger options,the venture's  CEO,Evaluate de-merger options,Write a report,Conduct organisation restructuring opportunities,"As one of the venture's Executives, I aim to identify evaluate de-merger options from the perspective of my business unit, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to evaluate de-merger options,  as part of the deal options, which are then integrated into a comprehensive report by the system.",,,0,,N,,,,,
16799,1.1.5.3.4,Evaluate divesture options,the venture's  CEO,Evaluate divesture options,Write a report,Conduct organisation restructuring opportunities,"As one of the venture's Executives, I aim to identify divesture options in my business unit, which are then integrated into a comprehensive report by the system.","As the venture's CEO, Identify restructuring opportunities, I aim to review divesture options which are then integrated into a comprehensive report by the system.",,,0,,N,,,,,
10015,1.2,Develop business strategy,,,,,,,,,38,#ERROR!,N,,,,,
10037,1.2.1,Develop overall mission statement,Executive Director,Develop overall mission statement,Write a report,Conduct organisation restructuring opportunities,"As one of the venture's Executives, I aim to develop the overall mission statement, which can then be integrated into a comprehensive report by the system.","As the venture's CEO,  I aim to develop the overall mission statement which is then integrated into a comprehensive report by the system.",,,0,,N,,,,,
10044,1.2.1.1,Define current business,Executive Director,Define current business,Write a report,Conduct organisation restructuring opportunities,"As one of the venture's Executives, I aim to define the current business, which can then be integrated into a comprehensive report by the system.","As the venture's CEO, I aim to review the appraisals of the current business which are then integrated into a comprehensive report by the system.",,,0,,N,,,,,
10045,1.2.1.2,Formulate mission,Executive Director,Formulate mission,Write a report,Conduct organisation restructuring opportunities,"As one of the venture's Executives, I aim to formulate the mission in my business unit, which are then integrated into a comprehensive report by the system.","As the venture's CEO,  I aim to review the mission statements which are then integrated into a comprehensive report by the system.",,,0,,N,,,,,
10046,1.2.1.3,Communicate mission,Executive Director,Communicate mission,Write a report,Conduct organisation restructuring opportunities,"As one of the venture's Executives, I aim to communicate the venture's mission via the system.","As one of the venture's stakeholders, I aim to be briefed about the venture's mission via the system.",,,0,,N,,,,,
10038,1.2.2,Define and evaluate strategic options to achieve the objectives,Executive Director,Define and evaluate strategic options to achieve the objectives,Write a report,Define and evaluate strategic options to achieve the objectives,"As one of the venture's Executives, I aim to define and evaluate strategic options to achieve the objectives, which are then integrated into a comprehensive report by the system.","As the venture's CEO,  I aim to review the definition and evaluate strategic options to achieve the objectives which are then integrated into a comprehensive report by the system.",,,13,#ERROR!,N,,,,,
10047,1.2.2.1,Define strategic options,Executive Director,Define strategic options,Write a report,Define and evaluate strategic options to achieve the objectives,"As one of the venture's Executives, I aim to define strategic options in my business unit, which are then integrated into a comprehensive report by the system.","As the venture's CEO, Identify restructuring opportunities, I aim to review strategic options which are then integrated into a comprehensive report by the system.",,,0,,N,,,,,
10048,1.2.2.2,Assess and analyze impact of each option,Executive Director,Assess and analyze impact of each option,Write a report,Define and evaluate strategic options to achieve the objectives,"As one of the venture's Executives, I aim to assess and analyze impact of each option in my business unit, which are then integrated into a comprehensive report by the system.","As the venture's CEO, Identify restructuring opportunities, I aim to identify restructuring opportunities which are then integrated into a comprehensive report by the system.",,,2,#ERROR!,N,,,,,
13289,1.2.2.2.1,Identify implications for key operating model business elements that require change,Executive Director,Identify implications for key operating model business elements that require change,Write a report,Define and evaluate strategic options to achieve the objectives,"As one of the venture's Executives, I aim to identify restructuring opportunities in my business unit, which are then integrated into a comprehensive report by the system.","As the venture's CEO,I aim to assess and analyze impact of each option which are then integrated into a comprehensive report by the system.",,,1,NEW,N,,,,,
13290,1.2.2.2.2,Identify implications for key technology aspects,Executive Director,Identify implications for key technology aspects,Write a report,Define and evaluate strategic options to achieve the objectives,"As one of the venture's Executives, I aim to identify implications for key technology aspects in my business unit, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to identify and review implications for key technology aspects which are then integrated into a comprehensive report by the system.",,,1,NEW,N,,,,,
16800,1.2.2.3,Develop B2B strategy,Executive Director,Develop B2B strategy,Write a report,Define and evaluate strategic options to achieve the objectives,"As one of the venture's Executives, I aim to develop the B2B strategy in my business unit, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to review the B2B strategy which are then integrated into a comprehensive report by the system.",,,2,#ERROR!,N,,,,,
16801,1.2.2.3.1,Develop service as a product strategy,Executive Director,Develop service as a product strategy,Write a report,Define and evaluate strategic options to achieve the objectives,"As one of the venture's Executives, I aim to develop the B2B strategy in my business unit, through developing a service as a product strategy, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to review the B2B strategy, incorporatig the service as a product strategy, which are then integrated into a comprehensive report by the system.",,,1,NEW,N,,,,,
16802,1.2.2.4,Develop B2C strategy,Executive Director,Develop B2C strategy,Write a report,Define and evaluate strategic options to achieve the objectives,"As one of the venture's Executives, I aim to develop the B2C strategy in my business unit, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to review the B2C strategy which are then integrated into a comprehensive report by the system.",,,1,NEW,N,,,,,
16803,1.2.2.5,Develop partner/alliance strategy,Executive Director,Develop partner/alliance strategy,Write a report,Define and evaluate strategic options to achieve the objectives,"As one of the venture's Executives, I aim to develop the partner/alliance strategy in my business unit, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to review the partner/alliance strategy which are then integrated into a comprehensive report by the system.",,,1,NEW,N,,,,,
16805,1.2.2.6,Develop merger/demerger/acquisition/exit strategy,Executive Director,Develop merger/demerger/acquisition/exit strategy,Write a report,Define and evaluate strategic options to achieve the objectives,"As one of the venture's Executives, I aim to develop the merger/demerger/acquisition/exit strategy in my business unit, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to review the merger/demerger/acquisition/exit strategy which are then integrated into a comprehensive report by the system.",,,1,NEW,N,,,,,
16806,1.2.2.7,Develop innovation strategy,Executive Director,Develop innovation strategy,Write a report,Define and evaluate strategic options to achieve the objectives,"As one of the venture's Executives, I aim to develop the innovation  strategy in my business unit, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to review the innovation strategy which are then integrated into a comprehensive report by the system.",,,1,NEW,N,,,,,
14189,1.2.2.8,Develop sustainability strategy,Executive Director,Develop sustainability strategy,Write a report,Define and evaluate strategic options to achieve the objectives,"As one of the venture's Executives, I aim to develop the sustainability strategy in my business unit, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to review the sustainability strategy which are then integrated into a comprehensive report by the system.",,,0,,N,,,,,
19950,1.2.2.9,Develop global support strategy,Executive Director,Develop global support strategy,Write a report,Define and evaluate strategic options to achieve the objectives,"As one of the venture's Executives, I aim to develop the global support strategy in my business unit, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to review the global support strategy which are then integrated into a comprehensive report by the system.",,,1,NEW,N,,,,,
19951,1.2.2.10,Develop shared services strategy,Executive Director,Develop shared services strategy,Write a report,Define and evaluate strategic options to achieve the objectives,"As one of the venture's Executives, I aim to develop the sustainability strategy in my business unit, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to review the sustainability strategy which are then integrated into a comprehensive report by the system.",,,1,NEW,N,,,,,
14197,1.2.2.11,Develop lean/continuous improvement strategy,Executive Director,Develop lean/continuous improvement strategy,Write a report,Define and evaluate strategic options to achieve the objectives,"As one of the venture's Executives, I aim to develop the lean/continuous improvement strategy in my business unit, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to review the  lean/continuous improvement strategy which are then integrated into a comprehensive report by the system.",,,0,,N,,,,,
19952,1.2.2.12,Develop innovation strategy and framework,Executive Director,Develop innovation strategy and framework,Write a report,Define and evaluate strategic options to achieve the objectives,"As one of the venture's Executives, I aim to develop the innovation strategy and framework in my business unit, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to review the innovation strategy and framework which are then integrated into a comprehensive report by the system.",,,1,NEW,N,,,,,
10039,1.2.3,Select long-term business strategy,,,,,r/w/e,r,,,0,,N,,,,,
,,,,,Report and Make a Decision,,"As one of the venture's Executives, I aim to select long-term business strategy in my business unit, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to review the selected long-term business strategy which are then with it integrated into a comprehensive report by the system, decide whether it is approved (board vote) or requires further work.",,,,,,,,,,
10040,1.2.4,Coordinate and align functional and process strategies,,,,,r/w/e,r,,,0,,N,,,,,
,,,,,Communicate,,"As one of the venture's Executives, I aim to coordinate and align functional and process strategies in my business unit.","As the venture's CEO, I aim to review coordinate and align functional and process strategies which are then disseminated appropriately by the system.",,,,,,,,,,
10041,1.2.5,Create organizational design,,,,,r/w/e,r,,,1,"RENAME, WAS:Create organizational design (structure, governance, reporting, etc.)",N,,,,,
10049,1.2.5.1,Evaluate breadth and depth of organizational structure,,,,,"As one of the venture's Executives, I aim to Evaluate breadth and depth of organizational structure in my business unit, to create the organisational design, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to evaluate breadth and depth of organizational structure which are then with it integrated into a comprehensive report by the system as part of creating the organisational design.",,,0,,N,,,,,
10050,1.2.5.2,Perform job-specific roles mapping and value-added analyses,,,,,"As one of the venture's Executives, I aim to Perform job-specific roles mapping and value-added analyses in my business unit, to create the organisational design, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to review job-specific roles mapping and value-added analyses which are then be integrated into a comprehensive report by the system as part of creating the organisational design.",,,0,,N,,,,,
10051,1.2.5.3,Develop role activity diagrams to assess hand-off activity,,,,,"As one of the venture's Executives, I aim to develop role activity diagrams to assess hand-off activity in my business unit, to create the organisational design, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to evaluate role activity diagrams to assess hand-off activity which are then with it integrated into a comprehensive report by the system as part of creating the organisational design.",,,0,,N,,,,,
10052,1.2.5.4,Perform organization redesign workshops,,,,,"As one of the venture's Executives, I aim to perform organization redesign workshops, to create the organisational design, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to review the conclusions of organization redesign workshops which are then with it integrated into a comprehensive report by the system as part of creating the organisational design.",,,0,,N,,,,,
10053,1.2.5.5,Design the relationships between organizational units,,,,,"As one of the venture's Executives, I aim to Evaluate breadth and depth of organizational structure in my business unit, to create the organisational design, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to evaluate breadth and depth of organizational structure which are then with it integrated into a comprehensive report by the system as part of creating the organisational design.",,,0,,N,,,,,
10054,1.2.5.6,Develop role analysis and activity diagrams for key processes,,,,,"As one of the venture's Executives, I aim to Develop role analysis and activity diagrams for key processes in my business unit, to create the organisational design, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to evaluate breadth and depth of organizational structure which are then with it integrated into a comprehensive report by the system as part of creating the organisational design.",,,0,,N,,,,,
10055,1.2.5.7,Assess organizational implication of feasible alternatives,,,,,"As one of the venture's Executives, I aim to Evaluate breadth and depth of organizational structure in my business unit, to create the organisational design, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to evaluate role analysis and activity diagrams for key processes which are then with it integrated into a comprehensive report by the system as part of creating the organisational design.",,,0,,N,,,,,
10056,1.2.5.8,Migrate to new organization,,,,,"As one of the venture's Executives, I aim to Evaluate breadth and depth of organizational structure in my business unit, to create the organisational design, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to evaluate breadth and depth of organizational structure which are then with it integrated into a comprehensive report by the system as part of creating the organisational design.",,,0,,N,,,,,
10042,1.2.6,Develop and set organizational goals,,,,,r/w/e,r,,,3,#ERROR!,N,,,,,
19953,1.2.6.1,Identify organizational goals,,,,,"As one of the venture's Executives, I aim to identify organisational goals in my business unit, to develop and set organizational goals, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to evaluate identify organisational goals which are then with it integrated into a comprehensive report by the system as part of developping and setting organisational goals.",,,1,NEW,N,,,,,
19954,1.2.6.2,Establish baseline metrics,,,,,"As one of the venture's Executives, I aim to establish baseline metrics in my business unit, to develop and set organizational goals, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to evaluate baseline metrics which are then with it integrated into a comprehensive report by the system as part of developping and setting organisational goals.",,,1,NEW,N,,,,,
19955,1.2.6.3,Monitor performance against goals,,,,,"As one of the venture's Executives, I aim to monitor performance against goals in my business unit, to develop and set organizational goals, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to evaluate performance against goals which are then with it integrated into a comprehensive report by the system as part of developping and setting organisational goals.",,,1,NEW,N,,,,,
10043,1.2.7,Formulate business unit strategies,,,,,r/w/e,r,,,3,#ERROR!,N,,,,,
19956,1.2.7.1,Analyze business unit strategies,,,,,"As one of the venture's Executives, I aim to analyse business unit strategies in my business unit, to develop and formulate business unit strategies, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to analyse business unit strategies which are then with it integrated into a comprehensive report by the system as part of formulating business unit strategies.",,,1,NEW,N,,,,,
19957,1.2.7.2,Identify core competency for each business unit,,,,,"As one of the venture's Executives, I aim to identify core competency for  my business unit, to develop and formulate business unit strategies, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to identify core competency for each business unit, which are then with it integrated into a comprehensive report by the system as part of formulating business unit strategies.",,,1,NEW,N,,,,,
19958,1.2.7.3,Refine business unit strategies in support of company strategy,,,,,"As one of the venture's Executives, I aim to refine business unit strategies in support of company strategy in my business unit, to develop and formulate business unit strategies, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to refine business unit strategies in support of company strategy which are then with it integrated into a comprehensive report by the system as part of formulating business unit strategies.",,,1,NEW,N,,,,,
19959,1.2.8,Develop customer experience strategy,,,,,r/w/e,r,,,17,#ERROR!,N,,,,,
19960,1.2.8.1,Assess customer experience,,,,,"As one of the venture's Executives, I aim to assess customer experience interfacing with my business unit, to develop customer experience strategy, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to assess customer experience which are then with it integrated into a comprehensive report by the system as part of developing customer experience strategies.",,,4,#ERROR!,N,,,,,
19961,1.2.8.1.1,Identify and review customer touchpoints,,,,,"As one of the venture's Executives, I aim to identify and review customer touchpoints interfacing with my business unit, to develop customer experience strategy, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to identify and review customer touchpoints which are then with it integrated into a comprehensive report by the system as part of developing customer experience strategies.",,,1,NEW,N,,,,,
19962,1.2.8.1.2,Assess customer experience across touchpoints,,,,,"As one of the venture's Executives, I aim to assess customer experience across touchpoints interfacing with my business unit, to develop customer experience strategy, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to assess customer experience across touchpoints which are then with it integrated into a comprehensive report by the system as part of developing customer experience strategies.",,,1,NEW,N,,,,,
19963,1.2.8.1.3,Perform root cause analysis of problematic customer experiences,,,,,"As one of the venture's Executives, I aim to perform root cause analysis of problematic customer experiences, to develop customer experience strategy, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to review root cause analysis of problematic customer experiences which are then with it integrated into a comprehensive report by the system as part of developing customer experience strategies.",,,1,NEW,N,,,,,
19964,1.2.8.2,Design customer experience,,,,,"As one of the venture's Executives, I aim to design customer experience interfacing with my business unit, to develop customer experience strategy, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to assess the design of customer experience which are then with it integrated into a comprehensive report by the system as part of developing customer experience strategies.",,,8,#ERROR!,N,,,,,
16612,1.2.8.2.1,Define and manage personas,,,,,"As one of the venture's Executives, I aim to define and  manage personas in my business unit, to develop customer experience strategy, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to assess customer personas which are then with it integrated into a comprehensive report by the system as part of developing customer experience strategies.",,,1,NEW,N,,,,,
19965,1.2.8.2.2,Create customer journey maps,,,,,"As one of the venture's Executives, I aim to create customer journey maps for my business unit, to develop customer experience strategy, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to review customer journey maps which are then with it integrated into a comprehensive report by the system as part of developing customer experience strategies.",,,1,NEW,N,,,,,
19966,1.2.8.2.3,Define single view of the customer for the organization,,,,,"As one of the venture's Executives, I aim to define single view of the customer for the organisation interfacing with my business unit, to develop customer experience strategy, which are then integrated into a comprehensive report by the system.","As the venture's CEO, I aim to assess single view definitions  of the customer for the organisation which are then with it integrated into a comprehensive report by the system as part of developing customer experience strategies.",,,1,NEW,N,,,,,
